,Quarter,Tm,Detail,CLE,NWE
0,1.0,Browns,Greg Pruitt 88 yard kickoff return (Don Cockroft kick),7,0
1,1.0,Browns,Thom Darden 29 yard defensive fumble return (Don Cockroft kick),14,0
2,2.0,Patriots,Sam Cunningham 1 yard rush (John Smith kick),14,7
3,2.0,Patriots,Sam Cunningham 1 yard rush (John Smith kick),14,14
4,4.0,Browns,Ken Brown 4 yard rush (Don Cockroft kick),21,14
