,Quarter,Tm,Detail,SFO,NOR
0,2.0,Saints,Tony Galbreath 1 yard rush (Russell Erxleben kick),0,7
1,2.0,49ers,Earl Cooper 1 yard rush (Ray Wersching kick),7,7
2,2.0,49ers,Earl Cooper 6 yard rush (Ray Wersching kick),14,7
3,3.0,49ers,Paul Hofer 27 yard pass from Steve DeBerg,20,7
4,3.0,Saints,Chuck Muncie 7 yard rush (run failed),20,13
5,4.0,49ers,Ray Wersching 37 yard field goal,23,13
6,4.0,Saints,Wes Chandler 49 yard pass from Archie Manning (Russell Erxleben kick),23,20
7,4.0,Saints,Russell Erxleben 37 yard field goal,23,23
8,4.0,49ers,Ray Wersching 38 yard field goal,26,23
