,Quarter,Tm,Detail,TAM,CHI
0,1.0,Bears,Mike Tomczak 8 yard rush (Kevin Butler kick),0,7
1,2.0,Bears,Thomas Sanders 9 yard rush (Kevin Butler kick),0,14
2,2.0,Bears,Doug Flutie 4 yard rush (Kevin Butler kick),0,21
3,2.0,Bears,Walter Payton 27 yard pass from Doug Flutie (Kevin Butler kick),0,28
4,3.0,Bears,Willie Gault 8 yard pass from Mike Tomczak (Kevin Butler kick),0,35
5,3.0,Bears,Walter Payton 4 yard rush (Kevin Butler kick),0,42
6,4.0,Buccaneers,Vince Heflin 48 yard offensive fumble return (Donald Igwebuike kick),7,42
7,4.0,Buccaneers,Calvin Magee 14 yard pass from Steve Young (Donald Igwebuike kick),14,42
8,4.0,Bears,Lew Barnes 85 yard kickoff return,14,48
