,Quarter,Tm,Detail,DEN,SDG
0,1.0,Broncos,Vance Johnson 22 yard pass from John Elway (David Treadwell kick),7,0
1,2.0,Chargers,John Carney 19 yard field goal,7,3
2,2.0,Chargers,John Carney 23 yard field goal,7,6
3,2.0,Chargers,John Carney 43 yard field goal,7,9
4,3.0,Chargers,John Carney 32 yard field goal,7,12
5,4.0,Chargers,Gary Plummer 1 yard rush (John Carney kick),7,19
