,Quarter,Tm,Detail,STL,DAL
0,1.0,Cowboys,Duane Thomas 53 yard rush (Mike Clark kick),0,7
1,2.0,Cowboys,Duane Thomas 3 yard rush (Mike Clark kick),0,14
2,2.0,Cardinals,Jim Bakken 33 yard field goal,3,14
3,2.0,Cowboys,Duane Thomas 34 yard pass from Roger Staubach (Mike Clark kick),3,21
4,2.0,Cardinals,Jim Bakken 29 yard field goal,6,21
5,3.0,Cardinals,Jim Bakken 23 yard field goal,9,21
6,3.0,Cardinals,Jim Bakken 35 yard field goal,12,21
7,4.0,Cowboys,Mike Clark 24 yard field goal,12,24
8,4.0,Cowboys,Duane Thomas 3 yard rush (Mike Clark kick),12,31
