,Quarter,Tm,Detail,CIN,PIT
0,1.0,Bengals,Chris Bahr 22 yard field goal,3,0
1,2.0,Steelers,Roy Gerela 42 yard field goal,3,3
2,2.0,Steelers,Franco Harris 1 yard rush (Roy Gerela kick),3,10
3,2.0,Steelers,Roy Gerela 40 yard field goal,3,13
4,3.0,Bengals,Chris Bahr 19 yard field goal,6,13
5,4.0,Steelers,Franco Harris 1 yard rush (Roy Gerela kick),6,20
6,4.0,Steelers,Roy Gerela 30 yard field goal,6,23
