,Quarter,Tm,Detail,OAK,GNB
0,1.0,Raiders,George Blanda 43 yard field goal,3,0
1,1.0,Packers,John Brockington 1 yard rush (Chester Marcol kick),3,7
2,1.0,Raiders,Jack Tatum 104 yard defensive fumble return (George Blanda kick),10,7
3,2.0,Packers,John Brockington 1 yard rush (Chester Marcol kick),10,14
4,3.0,Raiders,George Blanda 14 yard field goal,13,14
5,3.0,Raiders,Charlie Smith 1 yard rush (George Blanda kick),20,14
