,Quarter,Time,Tm,Detail,NYG,STL
0,1.0,12:06,Giants,Ron Dayne 4 yard rush (Morten Andersen kick),7,0
1,1.0,7:58,Rams,Jeff Wilkins 28 yard field goal,7,3
2,1.0,0:44,Rams,Jeff Wilkins 33 yard field goal,7,6
3,2.0,0:00,Rams,Jeff Wilkins 25 yard field goal,7,9
4,4.0,13:33,Giants,Ike Hilliard 25 yard pass from Kerry Collins (Morten Andersen kick),14,9
5,4.0,4:16,Rams,Trung Canidate 1 yard rush (pass failed),14,15
