,Quarter,Tm,Detail,DET,HOU
0,1.0,Oilers,Florian Kempf 47 yard field goal,0,3
1,2.0,Lions,Billy Sims 1 yard rush (Eddie Murray kick),7,3
2,2.0,Lions,Eddie Murray 35 yard field goal,10,3
3,2.0,Oilers,Mike McCloskey 13 yard pass from Oliver Luck (Florian Kempf kick),10,10
4,3.0,Lions,James Jones 3 yard pass from Gary Danielson (Eddie Murray kick),17,10
5,3.0,Oilers,Chris Dressel 13 yard pass from Oliver Luck (Florian Kempf kick),17,17
6,3.0,Oilers,Larry Moriarty 4 yard rush (Florian Kempf kick),17,24
7,4.0,Oilers,Florian Kempf 21 yard field goal,17,27
