,Quarter,Time,Tm,Detail,SEA,IND
0,1.0,,Seahawks,John Kasay 42 yard field goal,3,0
1,1.0,,Colts,Dean Biasucci 45 yard field goal,3,3
2,1.0,,Seahawks,"Safety, Harbaugh called for intentional grounding in end zone",5,3
3,1.0,,Colts,Marshall Faulk 5 yard rush (Dean Biasucci kick),5,10
4,2.0,,Seahawks,John Kasay 45 yard field goal,8,10
5,3.0,,Colts,Marshall Faulk 1 yard rush (Dean Biasucci kick),8,17
6,4.0,,Seahawks,Kelvin Martin 30 yard pass from Rick Mirer (John Kasay kick),15,17
