,Quarter,Time,Tm,Detail,DEN,OAK
0,1.0,10:29,Raiders,Tim Brown 11 yard pass from Rich Gannon (Sebastian Janikowski kick),0,7
1,1.0,6:07,Broncos,Jason Elam 39 yard field goal,3,7
2,2.0,10:28,Broncos,Jason Elam 21 yard field goal,6,7
3,2.0,6:48,Raiders,Zack Crockett 1 yard rush (Sebastian Janikowski kick),6,14
4,2.0,1:10,Raiders,Jon Ritchie 4 yard pass from Rich Gannon (Sebastian Janikowski kick),6,21
5,3.0,9:09,Broncos,Rod Smith 2 yard pass from Brian Griese (pass failed),12,21
6,3.0,0:15,Raiders,Tim Brown 19 yard pass from Rich Gannon (Sebastian Janikowski kick),12,28
7,4.0,10:41,Broncos,Desmond Clark 11 yard pass from Brian Griese (Rod Smith pass from Brian Griese),20,28
8,4.0,7:28,Raiders,Sebastian Janikowski 31 yard field goal,20,31
9,4.0,7:06,Raiders,Zack Crockett 3 yard rush (Sebastian Janikowski kick),20,38
10,4.0,1:53,Broncos,Rod Smith 26 yard pass from Gus Frerotte (Mike Anderson run),28,38
