,Quarter,Tm,Detail,CHI,DET
0,1.0,Bears,Ken Kavanaugh 32 yard pass from Sid Luckman (Ray McLean kick),7,0
1,2.0,Bears,George Gulyanics 3 yard rush (Ray McLean kick),14,0
2,3.0,Bears,George McAfee 1 yard rush (Ray McLean kick),21,0
3,3.0,Bears,Hugh Gallarneau 3 yard rush,27,0
4,3.0,Bears,George Gulyanics 4 yard rush (Ray McLean kick),34,0
5,4.0,Lions,John Greene 45 yard pass from Clyde LeForce (Roy Zimmerman kick),34,7
6,4.0,Lions,John Greene 45 yard pass from Clyde LeForce (Roy Zimmerman kick),34,14
