,Quarter,Tm,Detail,IND,RAI
0,1.0,Raiders,Chris Bahr 20 yard field goal,0,3
1,1.0,Colts,Dean Biasucci 52 yard field goal,3,3
2,1.0,Raiders,Todd Christensen 3 yard pass from Jim Plunkett (Chris Bahr kick),3,10
3,1.0,Raiders,Jerry Robinson 32 yard interception return (Chris Bahr kick),3,17
4,2.0,Colts,Dean Biasucci 40 yard field goal,6,17
5,3.0,Colts,Albert Bentley 70 yard rush (Dean Biasucci kick),13,17
6,3.0,Colts,Mark Boyer 14 yard pass from Gary Hogeboom (Dean Biasucci kick),20,17
7,3.0,Colts,Dean Biasucci 20 yard field goal,23,17
8,3.0,Raiders,Todd Christensen 14 yard pass from Rusty Hilger (Chris Bahr kick),23,24
9,4.0,Colts,Bill Brooks 11 yard pass from Gary Hogeboom (Dean Biasucci kick),30,24
