,Quarter,Tm,Detail,SFO,DET
0,1.0,Lions,Mel Farr 2 yard rush (Errol Mann kick),0,7
1,2.0,Lions,Charlie Sanders 19 yard pass from Greg Landry (Errol Mann kick),0,14
2,3.0,Lions,Larry Walton 23 yard pass from Greg Landry (Errol Mann kick),0,21
3,3.0,49ers,Doug Cunningham 1 yard rush (Bruce Gossett kick),7,21
4,4.0,Lions,Earl McCullouch 18 yard pass from Greg Landry (Errol Mann kick),7,28
