,Quarter,Time,Tm,Detail,NYJ,MIA
0,1.0,12:55,Jets,Jermaine Kearse 29 yard pass from Josh McCown (Chandler Catanzaro kick),7,0
1,1.0,10:44,Dolphins,Jarvis Landry 4 yard pass from Jay Cutler (Cody Parkey kick),7,7
2,1.0,1:27,Jets,Robby Anderson 18 yard pass from Josh McCown (Chandler Catanzaro kick),14,7
3,2.0,6:14,Dolphins,Anthony Fasano 4 yard pass from Jay Cutler (Cody Parkey kick),14,14
4,2.0,1:51,Jets,Josh McCown 1 yard rush (Chandler Catanzaro kick),21,14
5,3.0,1:41,Jets,Austin Seferian-Jenkins 10 yard pass from Josh McCown (Chandler Catanzaro kick),28,14
6,4.0,11:21,Dolphins,Kenny Stills 28 yard pass from Matt Moore (Cody Parkey kick),28,21
7,4.0,6:19,Dolphins,Kenny Stills 2 yard pass from Matt Moore (Cody Parkey kick),28,28
8,4.0,0:22,Dolphins,Cody Parkey 39 yard field goal,28,31
