,Quarter,Tm,Detail,NYG,PIT
0,1.0,Giants,Kink Richards 13 yard rush (Ken Strong kick),7,0
1,2.0,Giants,Dale Burnett 45 yard pass from Ed Danowski (Ken Strong kick),14,0
2,2.0,Giants,Bo Molenda 30 yard interception return (Ken Strong kick),21,0
3,2.0,Giants,Stu Clancy 10 yard rush (Tony Sarausky kick),28,0
4,4.0,Pirates,Heinie Wiesenbaugh 3 yard pass from Johnny Gildea (Armand Niccolai kick),28,7
5,4.0,Giants,Dale Burnett 25 yard pass from Ed Danowski (Ken Strong kick),35,7
6,4.0,Giants,Tony Sarausky 10 yard rush (Bo Molenda kick),42,7
