,Quarter,Tm,Detail,DET,BAL
0,1.0,Lions,Jim Martin 33 yard field goal,3,0
1,3.0,Lions,Dan Lewis 7 yard rush,9,0
2,3.0,Colts,Alan Ameche 1 yard rush (Steve Myhra kick),9,7
3,3.0,Colts,Raymond Berry 18 yard pass from Johnny Unitas (Steve Myhra kick),9,14
4,4.0,Colts,Jim Mutscheller 40 yard pass from Johnny Unitas (Steve Myhra kick),9,21
