,Quarter,Tm,Detail,DET,ATL
0,1.0,Lions,Richard Johnson 34 yard pass from Bob Gagliano (Eddie Murray kick),7,0
1,2.0,Falcons,Greg Davis 25 yard field goal,7,3
2,2.0,Lions,Barry Sanders 25 yard rush (Eddie Murray kick),14,3
3,2.0,Falcons,Gene Lang 9 yard pass from Chris Miller (Greg Davis kick),14,10
4,3.0,Lions,Eddie Murray 39 yard field goal,17,10
5,3.0,Lions,Barry Sanders 17 yard rush (Eddie Murray kick),24,10
6,4.0,Lions,Barry Sanders 18 yard rush (Eddie Murray kick),31,10
7,4.0,Falcons,Keith Jones 1 yard rush (Greg Davis kick),31,17
8,4.0,Falcons,Michael Haynes 6 yard pass from Chris Miller (Greg Davis kick),31,24
