,Quarter,Time,Tm,Detail,SFO,NOR
0,1.0,0:44,Saints,Josh Hill 3 yard pass from Drew Brees (Garrett Hartley kick),0,7
1,2.0,10:16,49ers,Anquan Boldin 11 yard pass from Colin Kaepernick (Phil Dawson kick),7,7
2,2.0,3:34,49ers,Phil Dawson 55 yard field goal,10,7
3,2.0,1:58,Saints,Jed Collins 1 yard rush (Garrett Hartley kick),10,14
4,3.0,10:52,49ers,Vernon Davis 17 yard pass from Colin Kaepernick (Phil Dawson kick),17,14
5,4.0,13:23,49ers,Phil Dawson 29 yard field goal,20,14
6,4.0,7:50,Saints,Garrett Hartley 21 yard field goal,20,17
7,4.0,2:06,Saints,Garrett Hartley 42 yard field goal,20,20
8,4.0,0:00,Saints,Garrett Hartley 31 yard field goal,20,23
