,Quarter,Time,Tm,Detail,MIN,PHI
0,1.0,10:14,Vikings,Kyle Rudolph 25 yard pass from Case Keenum (Kai Forbath kick),7,0
1,1.0,6:26,Eagles,Patrick Robinson 50 yard interception return (Jake Elliott kick),7,7
2,2.0,13:37,Eagles,LeGarrette Blount 11 yard rush (Jake Elliott kick),7,14
3,2.0,1:09,Eagles,Alshon Jeffery 53 yard pass from Nick Foles (Jake Elliott kick),7,21
4,2.0,0:00,Eagles,Jake Elliott 38 yard field goal,7,24
5,3.0,10:05,Eagles,Torrey Smith 41 yard pass from Nick Foles (Jake Elliott kick),7,31
6,4.0,14:10,Eagles,Alshon Jeffery 5 yard pass from Nick Foles (Jake Elliott kick),7,38
