,Quarter,Time,Tm,Detail,TEN,PIT
0,1.0,8:37,Steelers,Jerome Bettis 1 yard rush (Kris Brown kick),0,7
1,2.0,14:55,Titans,Frank Wycheck 4 yard pass from Steve McNair (Joe Nedney kick),7,7
2,2.0,5:56,Steelers,Hines Ward 3 yard pass from Kordell Stewart (Kris Brown kick),7,14
3,2.0,0:23,Steelers,Kris Brown 42 yard field goal,7,17
4,3.0,10:18,Steelers,Jerome Bettis 7 yard rush (Kris Brown kick),7,24
5,3.0,1:42,Steelers,Kris Brown 27 yard field goal,7,27
6,4.0,14:55,Steelers,Kordell Stewart 2 yard rush (Kris Brown kick),7,34
