,Quarter,Tm,Detail,NWE,MIA
0,1.0,Patriots,Tony Franklin 23 yard field goal,3,0
1,2.0,Dolphins,Dan Johnson 10 yard pass from Dan Marino (Fuad Reveiz kick),3,7
2,2.0,Patriots,Tony Collins 4 yard pass from Tony Eason (Tony Franklin kick),10,7
3,2.0,Patriots,Derrick Ramsey 1 yard pass from Tony Eason (Tony Franklin kick),17,7
4,3.0,Patriots,Robert Weathers 2 yard pass from Tony Eason (Tony Franklin kick),24,7
5,4.0,Dolphins,Tony Nathan 10 yard pass from Dan Marino (Fuad Reveiz kick),24,14
6,4.0,Patriots,Mosi Tatupu 1 yard rush (Tony Franklin kick),31,14
