,Quarter,Time,Tm,Detail,DEN,ARI
0,1.0,14:01,Broncos,Todd Davis 20 yard interception return (Brandon McManus kick),7,0
1,1.0,8:38,Broncos,Courtland Sutton 28 yard pass from Emmanuel Sanders (Brandon McManus kick),14,0
2,1.0,5:18,Cardinals,Phil Dawson 43 yard field goal,14,3
3,1.0,2:02,Broncos,Chris Harris Jr. 53 yard interception return (Brandon McManus kick),21,3
4,2.0,14:40,Broncos,Emmanuel Sanders 64 yard pass from Case Keenum (Brandon McManus kick),28,3
5,2.0,0:21,Broncos,Royce Freeman 1 yard rush (Brandon McManus kick),35,3
6,3.0,8:33,Cardinals,Larry Fitzgerald 4 yard pass from Josh Rosen (Phil Dawson kick),35,10
7,3.0,3:32,Broncos,Phillip Lindsay 28 yard rush (Brandon McManus kick),42,10
8,4.0,5:35,Broncos,Brandon McManus 41 yard field goal,45,10
