,Quarter,Time,Tm,Detail,MIA,NYJ
0,1.0,,Dolphins,Olindo Mare 46 yard field goal,3,0
1,2.0,,Jets,Keyshawn Johnson 10 yard pass from Vinny Testaverde (John Hall kick),3,7
2,2.0,0:27,Jets,John Hall 47 yard field goal,3,10
3,3.0,0:27,Jets,Curtis Martin 6 yard rush (John Hall kick),3,17
4,4.0,0:27,Dolphins,Troy Drayton 2 yard pass from Dan Marino (run failed),9,17
5,4.0,0:51,Jets,John Hall 25 yard field goal,9,20
