,Quarter,Tm,Detail,SEA,GNB
0,1.0,Packers,James Lofton 79 yard pass from Lynn Dickey (Al Del Greco kick),0,7
1,1.0,Seahawks,Steve Largent 31 yard pass from Dave Krieg (Norm Johnson kick),7,7
2,1.0,Packers,James Lofton 20 yard pass from Lynn Dickey (Al Del Greco kick),7,14
3,1.0,Packers,Al Del Greco 42 yard field goal,7,17
4,2.0,Seahawks,Norm Johnson 29 yard field goal,10,17
5,2.0,Seahawks,Norm Johnson 39 yard field goal,13,17
6,2.0,Seahawks,Eric Lane 1 yard rush (Norm Johnson kick),20,17
7,3.0,Seahawks,Daryl Turner 25 yard pass from Dave Krieg (Norm Johnson kick),27,17
8,3.0,Packers,Gerry Ellis 8 yard pass from Lynn Dickey (Al Del Greco kick),27,24
9,4.0,Seahawks,Norm Johnson 45 yard field goal,30,24
