,Quarter,Tm,Detail,OAK,KAN
0,1.0,Raiders,Fred Biletnikoff 21 yard pass from Ken Stabler (Errol Mann kick),7,0
1,2.0,Raiders,Errol Mann 42 yard field goal,10,0
2,2.0,Chiefs,Walter White 48 yard pass from Mike Livingston (Jan Stenerud kick),10,7
3,2.0,Chiefs,Walter White 1 yard pass from Mike Livingston (Jan Stenerud kick),10,14
4,2.0,Chiefs,Henry Marshall 41 yard pass from Mike Livingston (Jan Stenerud kick),10,21
5,2.0,Raiders,Errol Mann 34 yard field goal,13,21
6,3.0,Raiders,Pete Banaszak 1 yard rush (Errol Mann kick),20,21
7,3.0,Raiders,Clarence Davis 37 yard rush (Errol Mann kick),27,21
8,3.0,Raiders,Clarence Davis 2 yard rush (Errol Mann kick),34,21
9,4.0,Chiefs,Lawrence Williams 13 yard rush (Jan Stenerud kick),34,28
10,4.0,Raiders,Errol Mann 22 yard field goal,37,28
