,Quarter,Tm,Detail,HOU,WAS
0,1.0,Redskins,Calvin Muhammad 17 yard pass from Joe Theismann (Mark Moseley kick),0,7
1,1.0,Redskins,George Rogers 31 yard rush,0,13
2,2.0,Redskins,Mark Moseley 34 yard field goal,0,16
3,2.0,Oilers,Tony Zendejas 44 yard field goal,3,16
4,2.0,Oilers,Drew Hill 2 yard pass from Warren Moon (Tony Zendejas kick),10,16
5,3.0,Oilers,Tony Zendejas 35 yard field goal,13,16
