,Quarter,Time,Tm,Detail,NYG,WAS
0,1.0,,Redskins,Trent Green 1 yard rush (Cary Blanchard kick),0,7
1,1.0,,Giants,David Patten 90 yard kickoff return (Brad Daluiso kick),7,7
2,2.0,,Redskins,Stephen Davis 12 yard pass from Trent Green (Cary Blanchard kick),7,14
3,3.0,,Redskins,Skip Hicks 4 yard rush (Cary Blanchard kick),7,21
4,3.0,,Giants,Ike Hilliard 11 yard pass from Danny Kanell (Brad Daluiso kick),14,21
