,Quarter,Tm,Detail,RAM,NOR
0,1.0,Rams,Mike Lansford 37 yard field goal,3,0
1,2.0,Rams,Mike Lansford 18 yard field goal,6,0
2,3.0,Saints,Lonzell Hill 5 yard pass from Bobby Hebert (Morten Andersen kick),6,7
3,3.0,Rams,Mike Lansford 47 yard field goal,9,7
4,4.0,Rams,Mike Lansford 30 yard field goal,12,7
5,4.0,Saints,Morten Andersen 33 yard field goal,12,10
