,Quarter,Tm,Detail,BAL,MIN
0,1.0,Vikings,Mel Triplett 1 yard rush (Mike Mercer kick),0,7
1,2.0,Colts,Alex Hawkins 2 yard rush (Steve Myhra kick),7,7
2,2.0,Vikings,Hugh McElhenny 1 yard rush (Mike Mercer kick),7,14
3,2.0,Colts,Lenny Moore 3 yard rush (Steve Myhra kick),14,14
4,3.0,Colts,Steve Myhra 37 yard field goal,17,14
5,3.0,Vikings,Dave Middleton 57 yard pass from Fran Tarkenton (Mike Mercer kick),17,21
6,4.0,Colts,Steve Myhra 38 yard field goal,20,21
7,4.0,Vikings,Fran Tarkenton 1 yard rush (Mike Mercer kick),20,28
