,Quarter,Time,Tm,Detail,WAS,PIT
0,1.0,7:55,Steelers,Leonard Pope 1 yard pass from Ben Roethlisberger (Shaun Suisham kick),0,7
1,1.0,2:49,Steelers,Shaun Suisham 48 yard field goal,0,10
2,2.0,11:33,Redskins,Santana Moss 2 yard pass from Robert Griffin III (Kai Forbath kick failed),6,10
3,2.0,6:17,Steelers,Heath Miller 7 yard pass from Ben Roethlisberger (Shaun Suisham kick),6,17
4,2.0,1:56,Steelers,Shaun Suisham 27 yard field goal,6,20
5,3.0,11:52,Redskins,Kai Forbath 48 yard field goal,9,20
6,3.0,5:13,Steelers,Will Johnson 1 yard pass from Ben Roethlisberger (Shaun Suisham kick),9,27
7,4.0,12:06,Redskins,Kai Forbath 45 yard field goal,12,27
