,Quarter,Tm,Detail,CIN,SFO
0,1.0,Bengals,Jim Breech 39 yard field goal,3,0
1,2.0,49ers,Earl Cooper 15 yard pass from Joe Montana (Ray Wersching kick),3,7
2,2.0,Bengals,Larry Kinnebrew 6 yard rush (Jim Breech kick),10,7
3,2.0,Bengals,Cris Collinsworth 7 yard pass from Ken Anderson (Jim Breech kick),17,7
4,3.0,49ers,Ray Wersching 29 yard field goal,17,10
5,4.0,49ers,Ray Wersching 35 yard field goal,17,13
6,4.0,49ers,Ray Wersching 24 yard field goal,17,16
7,4.0,49ers,Freddie Solomon 4 yard pass from Joe Montana (Ray Wersching kick),17,23
