,Quarter,Tm,Detail,CHI,SFO
0,1.0,Bears,Gale Sayers 97 yard kickoff return (Mac Percival kick),7,0
1,2.0,Bears,Gale Sayers 15 yard rush (Mac Percival kick),14,0
2,3.0,49ers,Dick Witcher 63 yard pass from John Brodie (Tommy Davis kick),14,7
3,3.0,Bears,Dick Gordon 15 yard pass from Jack Concannon (Mac Percival kick),21,7
4,3.0,Bears,Gale Sayers 58 yard punt return (Mac Percival kick),28,7
5,4.0,49ers,Gary Lewis 7 yard rush (Tommy Davis kick),28,14
