,Quarter,Time,Tm,Detail,TAM,CAR
0,1.0,9:49,Panthers,Jonathan Stewart 3 yard rush (John Kasay kick),0,7
1,1.0,4:14,Panthers,John Kasay 23 yard field goal,0,10
2,2.0,13:30,Buccaneers,Connor Barth 21 yard field goal,3,10
3,2.0,10:01,Buccaneers,Connor Barth 46 yard field goal,6,10
4,3.0,6:14,Panthers,John Kasay 40 yard field goal,6,13
5,4.0,7:12,Panthers,John Kasay 23 yard field goal,6,16
