,Quarter,Tm,Detail,ATL,DET
0,1.0,Lions,Terry Greer 12 yard pass from Rodney Peete (Eddie Murray kick),0,7
1,1.0,Falcons,Andre Rison 10 yard pass from Chris Miller (Greg Davis kick),7,7
2,2.0,Lions,Richard Johnson 5 yard pass from Rodney Peete (Eddie Murray kick),7,14
3,2.0,Lions,Barry Sanders 17 yard rush (Eddie Murray kick),7,21
4,3.0,Falcons,Steve Broussard 3 yard rush (Greg Davis kick),14,21
