,Quarter,Tm,Detail,DEN,OAK
0,1.0,Raiders,Dave Casper 9 yard pass from Ken Stabler (Errol Mann kick),0,7
1,1.0,Broncos,Riley Odoms 10 yard pass from Craig Morton (Jim Turner kick),7,7
2,2.0,Broncos,Lonnie Perrin 16 yard rush (Jim Turner kick),14,7
3,2.0,Broncos,Jim Turner 25 yard pass from Norris Weese (Jim Turner kick),21,7
4,3.0,Broncos,Louis Wright 18 yard interception return,27,7
5,4.0,Broncos,Jim Turner 32 yard field goal,30,7
