,Quarter,Tm,Detail,PHI,NYG
0,1.0,Giants,Joe Danelo 37 yard field goal,0,3
1,1.0,Eagles,Harold Carmichael 23 yard pass from Ron Jaworski (Tony Franklin kick),7,3
2,2.0,Giants,Butch Woolfolk 5 yard pass from Scott Brunner (Joe Danelo kick),7,10
3,2.0,Giants,Earnest Gray 16 yard pass from Scott Brunner (Joe Danelo kick),7,17
4,3.0,Giants,Joe Danelo 34 yard field goal,7,20
5,4.0,Giants,Joe Danelo 29 yard field goal,7,23
