,Quarter,Tm,Detail,DAL,WAS
0,1.0,Redskins,Jim Steffen 78 yard interception return (Bob Khayat kick),0,7
1,2.0,Cowboys,Amos Marsh 1 yard rush (Sam Baker kick),7,7
2,2.0,Cowboys,Sam Baker 41 yard field goal,10,7
3,3.0,Redskins,Dick James 1 yard rush (Bob Khayat kick),10,14
4,3.0,Cowboys,Billy Howton 44 yard pass from Don Meredith (Sam Baker kick),17,14
5,4.0,Redskins,Jim Cunningham 1 yard rush (Bob Khayat kick),17,21
