,Quarter,Tm,Detail,PIT,PHI
0,1.0,Steelers,Tom Miner 38 yard field goal,3,0
1,1.0,Eagles,Pete Retzlaff 18 yard pass from Billy Ray Barnes (Bobby Walston kick),3,7
2,2.0,Steelers,Tom Tracy 13 yard pass from Bobby Layne (Tom Miner kick),10,7
3,2.0,Steelers,Tom Tracy 25 yard pass from Bobby Layne (Tom Miner kick),17,7
4,2.0,Eagles,Bobby Walston 16 yard field goal,17,10
5,3.0,Eagles,Billy Ray Barnes 3 yard rush (Bobby Walston kick),17,17
6,3.0,Steelers,Ray Mathews 34 yard pass from Bobby Layne (Tom Miner kick),24,17
7,3.0,Steelers,Tom Tracy 40 yard pass from Bobby Layne (Tom Miner kick),31,17
8,4.0,Eagles,Tommy McDonald 10 yard pass from Norm Van Brocklin (Bobby Walston kick),31,24
