,Quarter,Time,Tm,Detail,BUF,BAL
0,1.0,7:08,Ravens,Matt Stover 26 yard field goal,0,3
1,2.0,1:32,Ravens,Matt Stover 37 yard field goal,0,6
2,3.0,12:28,Ravens,Matt Stover 39 yard field goal,0,9
3,3.0,8:08,Bills,Lee Evans 44 yard pass from J.P. Losman (Rian Lindell kick),7,9
4,3.0,3:46,Ravens,Chris McAlister 31 yard interception return (Matt Stover kick),7,16
5,4.0,4:48,Ravens,Matt Stover 29 yard field goal,7,19
