,Quarter,Time,Tm,Detail,BAL,SEA
0,1.0,10:22,Ravens,Justin Tucker 25 yard field goal,3,0
1,2.0,14:52,Seahawks,Tyler Lockett 8 yard pass from Russell Wilson (Jason Myers kick),3,7
2,2.0,11:10,Ravens,Justin Tucker 28 yard field goal,6,7
3,2.0,7:39,Seahawks,Jason Myers 34 yard field goal,6,10
4,2.0,5:12,Ravens,Marcus Peters 67 yard interception return (Justin Tucker kick),13,10
5,2.0,0:06,Seahawks,Jason Myers 31 yard field goal,13,13
6,3.0,1:24,Ravens,Lamar Jackson 8 yard rush (Justin Tucker kick),20,13
7,4.0,3:50,Ravens,Justin Tucker 22 yard field goal,23,13
8,4.0,3:47,Ravens,Marlon Humphrey 18 yard fumble return (Justin Tucker kick),30,13
9,4.0,1:53,Seahawks,Jason Myers 35 yard field goal,30,16
