,Quarter,Tm,Detail,ATL,TAM
0,1.0,Buccaneers,Obed Ariri 30 yard field goal,0,3
1,2.0,Buccaneers,Steve DeBerg 2 yard rush (Obed Ariri kick),0,10
2,2.0,Falcons,Mick Luckhurst 33 yard field goal,3,10
3,2.0,Falcons,Mick Luckhurst 49 yard field goal,6,10
4,2.0,Buccaneers,Obed Ariri 36 yard field goal,6,13
5,3.0,Buccaneers,James Wilder 1 yard rush (Obed Ariri kick),6,20
6,4.0,Buccaneers,Obed Ariri 28 yard field goal,6,23
