,Quarter,Time,Tm,Detail,SFO,NWE
0,1.0,,Patriots,Robert Edwards 19 yard pass from Scott Zolak (Adam Vinatieri kick),0,7
1,2.0,,49ers,Jerry Rice 75 yard pass from Steve Young (Wade Richey kick),7,7
2,2.0,,Patriots,Shawn Jefferson 61 yard pass from Scott Zolak (Adam Vinatieri kick),7,14
3,2.0,,49ers,Terrell Owens 7 yard pass from Steve Young (Wade Richey kick),14,14
4,2.0,0:07,49ers,Irv Smith 25 yard pass from Ty Detmer (Wade Richey kick),21,14
5,4.0,0:07,Patriots,Robert Edwards 5 yard rush (Adam Vinatieri kick),21,21
6,4.0,0:06,Patriots,Adam Vinatieri 35 yard field goal,21,24
