,Quarter,Tm,Detail,NOR,PHO
0,1.0,Cardinals,Johnny Bailey 1 yard rush (Greg Davis kick),0,7
1,2.0,Saints,Morten Andersen 52 yard field goal,3,7
2,2.0,Cardinals,Ernie Jones 7 yard pass from Chris Chandler (Greg Davis kick),3,14
3,2.0,Saints,Eric Martin 11 yard pass from Bobby Hebert (Morten Andersen kick),10,14
4,3.0,Saints,Dalton Hilliard 15 yard pass from Bobby Hebert,16,14
5,3.0,Saints,Quinn Early 59 yard pass from Bobby Hebert (Morten Andersen kick),23,14
6,4.0,Saints,Craig Heyward 6 yard rush (Morten Andersen kick),30,14
7,4.0,Cardinals,Anthony Edwards 25 yard pass from Chris Chandler (Greg Davis kick),30,21
