,Quarter,Tm,Detail,NWE,GNB
0,1.0,Patriots,Teddy Garcia 43 yard field goal,3,0
1,2.0,Packers,Max Zendejas 25 yard field goal,3,3
2,2.0,Packers,Don Majkowski 2 yard rush (Max Zendejas kick),3,10
3,2.0,Packers,Joey Hackett 2 yard pass from Don Majkowski (Max Zendejas kick),3,17
4,3.0,Packers,Brent Fullwood 33 yard rush (Max Zendejas kick),3,24
5,4.0,Packers,Brent Fullwood 7 yard rush (Max Zendejas kick),3,31
6,4.0,Packers,Brent Fullwood 31 yard rush (Max Zendejas kick),3,38
7,4.0,Packers,Kenneth Davis 8 yard rush (Max Zendejas kick),3,45
