,Quarter,Time,Tm,Detail,DET,PHI
0,2.0,,Eagles,Charlie Garner 3 yard rush (Chris Boniol kick),0,7
1,2.0,,Lions,Jason Hanson 41 yard field goal,3,7
2,3.0,,Lions,Jason Hanson 48 yard field goal,6,7
3,4.0,,Lions,Jason Hanson 35 yard field goal,9,7
4,4.0,,Eagles,Chris Boniol 39 yard field goal,9,10
