,Quarter,Time,Tm,Detail,NWE,SEA
0,1.0,7:35,Seahawks,Stephen Hauschka 34 yard field goal,0,3
1,1.0,5:49,Patriots,Wes Welker 46 yard pass from Tom Brady (Stephen Gostkowski kick),7,3
2,1.0,1:50,Seahawks,Doug Baldwin 24 yard pass from Russell Wilson (Stephen Hauschka kick),7,10
3,2.0,10:33,Patriots,Aaron Hernandez 1 yard pass from Tom Brady (Stephen Gostkowski kick),14,10
4,2.0,2:12,Patriots,Stephen Gostkowski 25 yard field goal,17,10
5,3.0,9:21,Patriots,Stephen Gostkowski 35 yard field goal,20,10
6,4.0,9:21,Patriots,Stephen Gostkowski 35 yard field goal,23,10
7,4.0,7:21,Seahawks,Braylon Edwards 10 yard pass from Russell Wilson (Stephen Hauschka kick),23,17
8,4.0,1:18,Seahawks,Sidney Rice 46 yard pass from Russell Wilson (Stephen Hauschka kick),23,24
