,Quarter,Tm,Detail,PIT,NYG
0,1.0,Steelers,Ray Mathews 21 yard rush,6,0
1,1.0,Giants,Kyle Rote 5 yard pass from Don Heinrich (Ben Agajanian kick),6,7
2,2.0,Steelers,Jim Finks 2 yard rush (Art Michalik kick),13,7
3,2.0,Giants,Bob Schnelker 16 yard pass from Charlie Conerly (Ben Agajanian kick),13,14
4,3.0,Giants,Ben Agajanian 45 yard field goal,13,17
5,3.0,Steelers,Lynn Chandnois 4 yard rush,19,17
