,Quarter,Tm,Detail,MIA,WAS
0,2.0,Dolphins,Hubert Ginn 6 yard rush (Garo Yepremian kick),7,0
1,3.0,Dolphins,Garo Yepremian 32 yard field goal,10,0
2,3.0,Redskins,Mark Moseley 40 yard field goal,10,3
3,4.0,Redskins,Roy Jefferson 37 yard pass from Sonny Jurgensen (Mark Moseley kick),10,10
4,4.0,Redskins,Mark Moseley 41 yard field goal,10,13
5,4.0,Dolphins,Howard Twilley 13 yard pass from Bob Griese (Garo Yepremian kick),17,13
6,4.0,Redskins,Larry Smith 6 yard pass from Sonny Jurgensen (Mark Moseley kick),17,20
