,Quarter,Tm,Detail,SFO,WAS
0,1.0,Redskins,George Rogers 1 yard rush (Max Zendejas kick),0,7
1,2.0,49ers,Ray Wersching 34 yard field goal,3,7
2,3.0,Redskins,Gary Clark 27 yard pass from Jay Schroeder (Max Zendejas kick),3,14
3,3.0,49ers,Ray Wersching 38 yard field goal,6,14
