,Quarter,Tm,Detail,RAM,PHI
0,1.0,Eagles,Sam Baker 44 yard field goal,0,3
1,2.0,Eagles,Harold Jackson 38 yard pass from Norm Snead (Sam Baker kick),0,10
2,3.0,Rams,Billy Truax 3 yard pass from Roman Gabriel (Bruce Gossett kick),7,10
3,3.0,Rams,Bruce Gossett 19 yard field goal,10,10
4,3.0,Rams,Eddie Meador 34 yard interception return (Bruce Gossett kick),17,10
5,3.0,Rams,Bruce Gossett 39 yard field goal,20,10
6,4.0,Rams,Bruce Gossett 16 yard field goal,23,10
7,4.0,Eagles,Tom Woodeshick 1 yard rush (Sam Baker kick),23,17
