,Quarter,Tm,Detail,SEA,CIN
0,1.0,Bengals,Tim McGee 21 yard pass from Boomer Esiason (Jim Breech kick),0,7
1,2.0,Bengals,Jim Breech 24 yard field goal,0,10
2,2.0,Seahawks,Steve Largent 10 yard pass from Dave Krieg (Norm Johnson kick),7,10
3,3.0,Seahawks,Norm Johnson 48 yard field goal,10,10
4,3.0,Seahawks,Brian Blades 60 yard pass from Dave Krieg (Norm Johnson kick),17,10
5,4.0,Bengals,Eric Thomas 18 yard interception return (Jim Breech kick),17,17
6,4.0,Seahawks,Curt Warner 1 yard pass from Dave Krieg (Norm Johnson kick),24,17
