,Quarter,Tm,Detail,CHI,NYG
0,2,Giants,Benny Friedman 1 yard rush,0,6
1,3,Bears,Luke Johnsos 15 yard pass from Joe Lintzenich,6,6
2,4,Bears,Gardie Grange 28 yard pass from Carl Brumbaugh,12,6
