,Quarter,Time,Tm,Detail,CAR,SDG
0,1.0,8:29,Panthers,Mike Tolbert 1 yard rush (Graham Gano kick),7,0
1,1.0,4:54,Panthers,Mike Tolbert 1 yard rush (Graham Gano kick),14,0
2,1.0,0:58,Panthers,DeAngelo Williams 45 yard pass from Cam Newton (Graham Gano kick),21,0
3,2.0,0:06,Panthers,Graham Gano 33 yard field goal,24,0
4,3.0,8:56,Panthers,Steve Smith 4 yard pass from Cam Newton (Graham Gano kick),31,0
5,4.0,14:02,Chargers,Antonio Gates 9 yard pass from Philip Rivers (Nick Novak kick),31,7
