,Quarter,Tm,Detail,GNB,DAL
0,1.0,Cowboys,Rafael Septien 50 yard field goal,0,3
1,1.0,Cowboys,Rafael Septien 34 yard field goal,0,6
2,2.0,Packers,James Lofton 6 yard pass from Lynn Dickey (Jan Stenerud kick),7,6
3,2.0,Cowboys,Timmy Newsome 2 yard rush (Rafael Septien kick),7,13
4,2.0,Cowboys,Dennis Thurman 39 yard interception return (Rafael Septien kick),7,20
5,3.0,Packers,Jan Stenerud 30 yard field goal,10,20
6,3.0,Packers,Jan Stenerud 33 yard field goal,13,20
7,3.0,Cowboys,Rafael Septien 24 yard field goal,13,23
8,4.0,Packers,James Lofton 71 yard rush,19,23
9,4.0,Cowboys,Doug Cosbie 7 yard pass from Danny White (Rafael Septien kick),19,30
10,4.0,Packers,Mark Lee 22 yard interception return (Jan Stenerud kick),26,30
11,4.0,Cowboys,Robert Newhouse 1 yard rush (Rafael Septien kick),26,37
