,Quarter,Time,Tm,Detail,NYG,DET
0,1,3:49,Giants,Josh Brown 41 yard field goal,3,0
1,2,12:38,Lions,David Akers 37 yard field goal,3,3
2,2,2:19,Giants,Jerrel Jernigan 20 yard pass from Eli Manning (Josh Brown kick),10,3
3,2,0:09,Giants,Josh Brown 52 yard field goal,13,3
4,3,9:06,Lions,Joique Bell 1 yard rush (David Akers kick),13,10
5,3,1:01,Lions,"Safety, Eli Manning sacked by Nick Fairley in the end zone.",13,12
6,4,11:50,Lions,Theo Riddick 2 yard rush (Joseph Fauria pass from Matthew Stafford),13,20
7,4,4:57,Giants,Will Hill 38 yard interception return (Josh Brown kick),20,20
8,OT,7:32,Giants,Josh Brown 45 yard field goal,23,20
