,Quarter,Tm,Detail,PHI,WAS
0,1.0,Eagles,Paul McFadden 41 yard field goal,3,0
1,2.0,Eagles,Paul McFadden 36 yard field goal,6,0
2,2.0,Redskins,Mark Moseley 41 yard field goal,6,3
3,2.0,Redskins,Mark Moseley 26 yard field goal,6,6
4,3.0,Eagles,Paul McFadden 37 yard field goal,9,6
5,4.0,Eagles,Earnest Jackson 17 yard pass from Randall Cunningham (Paul McFadden kick),16,6
6,4.0,Eagles,Paul McFadden 34 yard field goal,19,6
