,Quarter,Tm,Detail,NOR,DAL
0,1.0,Saints,Chuck Muncie 1 yard rush (Steve Mike-Mayer kick),7,0
1,2.0,Cowboys,Tony Dorsett 2 yard rush (Rafael Septien kick),7,7
2,2.0,Cowboys,Roger Staubach 1 yard rush (Rafael Septien kick),7,14
3,3.0,Cowboys,Billy Joe DuPree 24 yard pass from Roger Staubach (Rafael Septien kick),7,21
4,4.0,Cowboys,Rafael Septien 24 yard field goal,7,24
5,4.0,Cowboys,Rafael Septien 26 yard field goal,7,27
