,Quarter,Time,Tm,Detail,NYG,WAS
0,1.0,7:03,Redskins,Stephen Davis 1 yard rush (Brett Conway kick),0,7
1,2.0,10:57,Giants,Cary Blanchard 44 yard field goal,3,7
2,2.0,7:02,Redskins,Brett Conway 24 yard field goal,3,10
3,2.0,0:00,Giants,Cary Blanchard 44 yard field goal,6,10
4,3.0,1:14,Redskins,Brett Conway 21 yard field goal,6,13
5,4.0,14:51,Redskins,Marco Coleman 42 yard defensive fumble return (Brett Conway kick),6,20
6,4.0,10:26,Giants,Charles Way 1 yard rush (Cary Blanchard kick),13,20
7,4.0,0:21,Redskins,Brett Conway 21 yard field goal,13,23
