,Quarter,Tm,Detail,PIT,NYJ
0,1.0,Steelers,Lynn Swann 10 yard pass from Terry Bradshaw (Roy Gerela kick),7,0
1,2.0,Jets,Bruce Harper 11 yard rush (Pat Leahy kick),7,7
2,2.0,Steelers,John Stallworth 14 yard pass from Terry Bradshaw (Roy Gerela kick),14,7
3,2.0,Jets,Pat Leahy 47 yard field goal,14,10
4,3.0,Steelers,Lynn Swann 26 yard pass from Terry Bradshaw (Roy Gerela kick),21,10
5,3.0,Steelers,Sidney Thornton 1 yard rush (Roy Gerela kick),28,10
6,3.0,Jets,Kevin Long 2 yard rush (Pat Leahy kick),28,17
