,Quarter,Tm,Detail,NYJ,NWE
0,1.0,Jets,Pat Leahy 29 yard field goal,3,0
1,1.0,Patriots,Teddy Garcia 39 yard field goal,3,3
2,2.0,Patriots,Teddy Garcia 24 yard field goal,3,6
3,3.0,Patriots,Irving Fryar 26 yard pass from Steve Grogan (Teddy Garcia kick),3,13
4,3.0,Patriots,Teddy Garcia 47 yard field goal,3,16
5,4.0,Patriots,Craig James 8 yard rush,3,22
6,4.0,Patriots,Irving Fryar 15 yard pass from Steve Grogan,3,28
