,Quarter,Time,Tm,Detail,KAN,CHI
0,1.0,1:37,Chiefs,Patrick Mahomes 12 yard rush (Harrison Butker kick),7,0
1,2.0,11:46,Chiefs,Harrison Butker 56 yard field goal,10,0
2,2.0,0:56,Chiefs,Travis Kelce 6 yard pass from Patrick Mahomes (Harrison Butker kick),17,0
3,3.0,0:03,Bears,Eddy Pineiro 46 yard field goal,17,3
4,4.0,10:11,Chiefs,Damien Williams 14 yard pass from Patrick Mahomes (Harrison Butker kick failed),23,3
5,4.0,1:44,Chiefs,Harrison Butker 32 yard field goal,26,3
