,Quarter,Time,Tm,Detail,NOR,PHI
0,1.0,12:09,Eagles,David Akers 36 yard field goal,0,3
1,1.0,4:25,Eagles,Brian Westbrook 15 yard rush (David Akers kick),0,10
2,2.0,2:38,Eagles,Correll Buckhalter 1 yard rush (David Akers kick),0,17
3,2.0,1:47,Saints,Boo Williams 6 yard pass from Aaron Brooks (John Carney kick),7,17
4,2.0,0:05,Eagles,David Akers 41 yard field goal,7,20
5,3.0,13:16,Eagles,David Akers 42 yard field goal,7,23
6,3.0,12:58,Saints,Deuce McAllister 76 yard rush (John Carney kick),14,23
7,4.0,10:01,Eagles,David Akers 33 yard field goal,14,26
8,4.0,5:28,Eagles,Jon Ritchie 2 yard pass from Donovan McNabb (David Akers kick),14,33
9,4.0,3:39,Saints,Deuce McAllister 22 yard rush (pass failed),20,33
