,Quarter,Tm,Detail,TAM,ATL
0,1.0,Buccaneers,Vince Workman 42 yard pass from Craig Erickson (Michael Husted kick),7,0
1,2.0,Buccaneers,Reggie Cobb 5 yard pass from Craig Erickson (Michael Husted kick),14,0
2,2.0,Buccaneers,Michael Husted 24 yard field goal,17,0
3,3.0,Falcons,Norm Johnson 34 yard field goal,17,3
4,3.0,Buccaneers,Horace Copeland 60 yard pass from Craig Erickson (Michael Husted kick),24,3
5,3.0,Buccaneers,Horace Copeland 44 yard pass from Craig Erickson (Michael Husted kick),31,3
6,3.0,Falcons,Andre Rison 53 yard pass from Bobby Hebert (Norm Johnson kick),31,10
7,4.0,Falcons,Andre Rison 9 yard pass from Bobby Hebert (Norm Johnson kick),31,17
8,4.0,Falcons,Mike Pritchard 5 yard pass from Bobby Hebert (Norm Johnson kick),31,24
